issuer,contract,function,call_count,total_ms,avg_ms
SP9B1S44NK7SHZX4KX3HW1DXJXZFM4QJH9YHV746,rewards-dual-stacking-bitflow-v1,compute-current-snapshot-balances,41,42817.36,1044.326
SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53,rewards-dual-stacking-zest-v1,compute-current-snapshot-balances,30,38950.09,1298.336
SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,5,15418.19,3083.638
SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2,blocksurvey-proof-of-submission,proof-of-submission,1453,9514.01,6.548
SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,close,25,2574.87,102.995
SP2FGHFNGMH6NF2427Y20271Q6CKJ67FDX2V2JG6X,cross-peg-in-v2-04c-swap,transfer-to-cross-swap,41,2519.16,61.443
SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M,stableswap-stx-ststx-v-1-2,swap-x-for-y,19,2491.71,131.143
SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,open,23,2245.6,97.635
SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX,bt,l,15,1940.91,129.394
SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M,stableswap-stx-ststx-v-1-2,swap-y-for-x,14,1774.18,126.727
SP1413DDVECH9RVTZ13TT2V4X2Q2B6E8TZEMQG7MH,rewards-dual-stacking-granite,compute-current-snapshot-balances,3,1505.07,501.688
SP6XGBDAD800GGY6XF48AC27467W9PEHA6EPBGKJ,test-zest-interface-hbtc-v4,zest-borrow,4,1464.22,366.055
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,uvas,ri,3,1392.4,464.134
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N,borrow-helper-v2-1-7,withdraw,5,1278.87,255.774
SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX,w,r,20,1278.34,63.917
SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR,arkadiko-oracle-v2-3,update-price-multi,63,1152.76,18.298
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-swap-helper-v-1-3,swap-helper-a,37,1094.41,29.579
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-core-v-1-2,swap-x-for-y,88,1057.41,12.016
SP2Z0V6KWDW82V6YDHHKH6E8M010PWEXAPX711XWR,BATCH,multi-send,180,953.89,5.299
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-swap-helper-v-1-3,swap-helper-b,17,930.02,54.707
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-1,swap-helper-b,6,918.38,153.064
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,stableswap-swap-helper-v-1-3,swap-helper-a,8,909.74,113.717
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,nabs,rt,2,805.56,402.781
SP6XGBDAD800GGY6XF48AC27467W9PEHA6EPBGKJ,test-zest-interface-hbtc-v4,zest-withdraw,3,801.95,267.316
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,scat,rl,2,762.58,381.288
