issuer,contract,function,cnt,max_ms,median_ms,max_to_median,avg_ms
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,765,4016.932,25.63,156.73,645.149
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,85,3711.337,78.755,47.13,305.341
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-x-for-y-simple-multi,158,3666.897,190.01,19.3,917.795
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,add-liquidity-multi,592,2243.021,660.149,3.4,879.4
SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v2_1_0,capture-snapshot-balances-optimizer,59,1688.226,1462.158,1.15,1414.399
SP387HJN7F2HR9KQ4250YGFCA4815T1F9X7N74C5W,options-market-v5,batch-create-listings,20,307.977,269.329,1.14,266.497
SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v2_1_0,advance-to-next-snapshot,1,59.697,59.697,1.0,59.697
SP387HJN7F2HR9KQ4250YGFCA4815T1F9X7N74C5W,options-market-v5,buy-option,1898,38.485,9.793,3.93,10.154
SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v2_1_0,enroll,2,25.245,23.807,1.06,23.807
